date,SPY,QQQ,TQQQ,BIL
2016-07-08,181.13807678222656,102.92497253417969,2.0540900230407715,73.66290283203125
2016-07-11,181.7769317626953,103.51286315917969,2.0891575813293457,73.6789779663086
2016-07-12,183.09727478027344,104.035400390625,2.122044086456299,73.64677429199219
2016-07-13,183.07171630859375,103.78346252441406,2.1071856021881104,73.66290283203125
2016-07-14,184.09390258789062,104.49267578125,2.1499788761138916,73.6789779663086
2016-07-15,183.8468017578125,104.32469177246094,2.137894630432129,73.66290283203125
2016-07-18,184.34092712402344,105.01519775390625,2.180490255355835,73.66290283203125
2016-07-19,184.15354919433594,104.6325912475586,2.157904863357544,73.6789779663086
2016-07-20,184.92015075683594,105.85502624511719,2.2318029403686523,73.6789779663086
2016-07-21,184.22166442871094,105.61238861083984,2.218528985977173,73.6789779663086
2016-07-22,185.04788208007812,106.05099487304688,2.24428391456604,73.6789779663086
2016-07-25,184.5453338623047,106.06031036376953,2.246264696121216,73.66290283203125
2016-07-26,184.6304931640625,106.18162536621094,2.253793716430664,73.66290283203125
2016-07-27,184.43455505371094,106.91877746582031,2.297776222229004,73.6789779663086
2016-07-28,184.64756774902344,107.29206085205078,2.322739362716675,73.66290283203125
2016-07-29,184.9457244873047,107.52531433105469,2.337994337081909,73.6789779663086
2016-08-01,184.79237365722656,108.09453582763672,2.374645709991455,73.66290283203125
2016-08-02,183.6083526611328,107.27336883544922,2.3211536407470703,73.6789779663086
2016-08-03,184.14498901367188,107.62796783447266,2.343144655227661,73.66290283203125
2016-08-04,184.34092712402344,107.9358901977539,2.3641462326049805,73.66290283203125
2016-08-05,185.8486328125,108.97167205810547,2.4324967861175537,73.66290283203125
2016-08-08,185.7378387451172,108.85035705566406,2.424769401550293,73.66290283203125
2016-08-09,185.8486328125,109.1023178100586,2.4408178329467773,73.66290283203125
2016-08-10,185.38864135742188,108.82239532470703,2.421996593475342,73.66290283203125
2016-08-11,186.24899291992188,109.28897094726562,2.453299045562744,73.66290283203125
2016-08-12,186.08712768554688,109.36361694335938,2.457855701446533,73.66290283203125
2016-08-15,186.62374877929688,109.83018493652344,2.488762140274048,73.66290283203125
2016-08-16,185.66122436523438,109.22364807128906,2.4495341777801514,73.66290283203125
2016-08-17,186.01043701171875,109.41960906982422,2.461026191711426,73.66290283203125
2016-08-18,186.4279022216797,109.44759368896484,2.4634029865264893,73.6789779663086
2016-08-19,186.15530395507812,109.41960906982422,2.4600346088409424,73.66290283203125
2016-08-22,186.146728515625,109.50357818603516,2.462412118911743,73.66290283203125
2016-08-23,186.52154541015625,109.69950866699219,2.4770734310150146,73.66290283203125
2016-08-24,185.56752014160156,108.99034881591797,2.429326057434082,73.6789779663086
2016-08-25,185.439697265625,108.81302642822266,2.4178357124328613,73.66290283203125
2016-08-26,185.09046936035156,108.97167205810547,2.4295246601104736,73.66290283203125
2016-08-29,186.00192260742188,109.12098693847656,2.43626070022583,73.6789779663086
2016-08-30,185.6953125,108.76639556884766,2.414268970489502,73.6789779663086
2016-08-31,185.16717529296875,108.6544189453125,2.4079294204711914,73.6789779663086
2016-09-01,185.17568969726562,108.93436431884766,2.4186277389526367,73.6789779663086
2016-09-02,186.01043701171875,109.28897094726562,2.446958541870117,73.69511413574219
2016-09-06,186.5726318359375,109.97015380859375,2.4923274517059326,73.69511413574219
2016-09-07,186.5556182861328,110.03546142578125,2.496884822845459,73.6789779663086
2016-09-08,186.12973022460938,109.3916015625,2.4540915489196777,73.6789779663086
2016-09-09,181.6746826171875,106.63880920410156,2.2680580615997314,73.69511413574219
2016-09-12,184.28126525878906,108.5517807006836,2.3843541145324707,73.66290283203125
2016-09-13,181.63211059570312,107.5813217163086,2.3280882835388184,73.6789779663086
2016-09-14,181.5640106201172,108.09453582763672,2.358003616333008,73.6789779663086
2016-09-15,183.37831115722656,109.77422332763672,2.467365026473999,73.6789779663086
2016-09-16,182.66943359375,109.72179412841797,2.464592218399048,73.6789779663086
2016-09-19,182.70376586914062,109.24470520019531,2.4322986602783203,73.6789779663086
2016-09-20,182.71226501464844,109.45053100585938,2.445770740509033,73.6789779663086
2016-09-21,184.7669677734375,110.52632141113281,2.516895055770874,73.6789779663086
2016-09-22,185.93128967285156,111.4056625366211,2.5757365226745605,73.69511413574219
2016-09-23,184.9124755859375,110.69469451904297,2.52937650680542,73.69511413574219
2016-09-26,183.414306640625,109.76858520507812,2.4665727615356445,73.69511413574219
2016-09-27,184.55294799804688,110.85372924804688,2.5365092754364014,73.6789779663086
2016-09-28,185.46902465820312,111.04080200195312,2.5503768920898438,73.6789779663086
2016-09-29,183.7909698486328,110.23632049560547,2.496290683746338,73.6789779663086
2016-09-30,185.17791748046875,111.0595474243164,2.547602891921997,73.69511413574219
2016-10-03,184.7327117919922,110.9005126953125,2.5418577194213867,73.6789779663086
2016-10-04,183.7909698486328,110.73211669921875,2.5273947715759277,73.69511413574219
2016-10-05,184.60427856445312,111.12499237060547,2.5537450313568115,73.69511413574219
2016-10-06,184.7327117919922,111.06887817382812,2.5497825145721436,73.69511413574219
2016-10-07,184.09922790527344,110.82565307617188,2.5331408977508545,73.69511413574219
2016-10-10,185.0580291748047,111.52726745605469,2.578509569168091,73.69511413574219
2016-10-11,182.72084045410156,109.93695068359375,2.471921443939209,73.6789779663086
2016-10-12,182.96060180664062,109.84342193603516,2.4667704105377197,73.69511413574219
2016-10-13,182.36119079589844,109.45053100585938,2.4378459453582764,73.6789779663086
2016-10-14,182.45541381835938,109.58148193359375,2.4433932304382324,73.6789779663086
2016-10-17,181.8219451904297,109.28214263916016,2.426553249359131,73.6789779663086
2016-10-18,182.96060180664062,110.2550277709961,2.488762140274048,73.6789779663086
2016-10-19,183.4485321044922,110.24564361572266,2.4897525310516357,73.69511413574219
2016-10-20,183.10610961914062,110.1147232055664,2.479252338409424,73.6789779663086
2016-10-21,183.19163513183594,110.52632141113281,2.5061967372894287,73.6789779663086
2016-10-24,183.97076416015625,111.85469818115234,2.5975284576416016,73.6789779663086
2016-10-25,183.35435485839844,111.49922943115234,2.5715749263763428,73.6789779663086
2016-10-26,182.9862518310547,110.741455078125,2.522244691848755,73.69511413574219
2016-10-27,182.49826049804688,110.23632049560547,2.486978769302368,73.6789779663086
2016-10-28,181.95889282226562,109.54405212402344,2.4439871311187744,73.69511413574219
2016-10-31,181.96749877929688,109.44115447998047,2.430119752883911,73.71125030517578
2016-11-01,180.64906311035156,108.61791229248047,2.3801934719085693,73.69511413574219
2016-11-02,179.5617218017578,107.7479248046875,2.3181817531585693,73.71125030517578
2016-11-03,178.7399139404297,106.69086456298828,2.2514164447784424,73.69511413574219
2016-11-04,178.5430145263672,106.3166732788086,2.2258591651916504,73.71125030517578
2016-11-07,182.4811248779297,108.84246063232422,2.385343551635742,73.69511413574219
2016-11-08,183.30300903320312,109.55340576171875,2.4321000576019287,73.71125030517578
2016-11-09,185.24639892578125,110.05857849121094,2.4661757946014404,73.6789779663086
2016-11-10,185.7086639404297,108.28118133544922,2.3488898277282715,73.6789779663086
2016-11-11,185.28062438964844,108.32798767089844,2.346909761428833,73.64677429199219
2016-11-14,185.4261474609375,107.23344421386719,2.2676613330841064,73.6789779663086
2016-11-15,186.87303161621094,108.72085571289062,2.372664213180542,73.69511413574219
2016-11-16,186.52203369140625,109.36634826660156,2.411297559738159,73.69511413574219
2016-11-17,187.4808349609375,110.1614990234375,2.4671671390533447,73.71125030517578
2016-11-18,187.06137084960938,109.74987030029297,2.4394302368164062,73.69511413574219
2016-11-21,188.47390747070312,110.89114379882812,2.512734889984131,73.6789779663086
2016-11-22,188.84205627441406,111.2279281616211,2.5353195667266846,73.6789779663086
2016-11-23,188.94476318359375,110.77886199951172,2.5048093795776367,73.6789779663086
2016-11-25,189.64682006835938,111.13438415527344,2.528979539871216,73.69511413574219
2016-11-28,188.75643920898438,110.8818130493164,2.514913558959961,73.6789779663086
2016-11-29,189.12461853027344,111.26529693603516,2.53908371925354,73.6789779663086
2016-11-30,188.6708526611328,109.91825103759766,2.4568653106689453,73.6789779663086
2016-12-01,187.97740173339844,108.01923370361328,2.321946859359741,73.7128677368164
2016-12-02,188.071533203125,108.2343978881836,2.3312575817108154,73.6967544555664
2016-12-05,189.20166015625,109.07635498046875,2.385145902633667,73.6967544555664
2016-12-06,189.80088806152344,109.3382568359375,2.4023818969726562,73.7128677368164
2016-12-07,192.28366088867188,110.72277069091797,2.4915356636047363,73.7128677368164
2016-12-08,192.75454711914062,110.9192123413086,2.506791353225708,73.7128677368164
2016-12-09,193.91885375976562,111.7892074584961,2.5654332637786865,73.7128677368164
2016-12-12,193.69619750976562,111.28404998779297,2.5297722816467285,73.6967544555664
2016-12-13,194.98899841308594,112.68727111816406,2.628633737564087,73.7128677368164
2016-12-14,193.37950134277344,112.45338439941406,2.6094155311584473,73.7128677368164
2016-12-15,194.17559814453125,112.63113403320312,2.62526535987854,73.7128677368164
2016-12-16,193.7959442138672,112.21361541748047,2.5933685302734375,73.6967544555664
2016-12-19,194.21791076660156,112.67333984375,2.625068187713623,73.7128677368164
2016-12-20,194.9670867919922,113.10494232177734,2.656766414642334,73.6967544555664
2016-12-21,194.424560546875,113.0205078125,2.6474545001983643,73.7128677368164
2016-12-22,194.08868408203125,112.70149993896484,2.624473810195923,73.6967544555664
2016-12-23,194.3728790283203,112.77655792236328,2.632596015930176,73.6967544555664
